"","RunIdentifier","eventID","principalInvestigator","samplingProtocol","dayDeployed","dayCollected","timeOfDay","yearDeployed","yearCollected","lengthDeployment","collectorList","labWorkerList","continentOcean","country","municipality","county","locality","island","islandGroup","locationID","locationRemarks","decimalLatitude","decimalLongitude","DMSLatitude","DMSLongitude","horizontalDatum","habitat","depthOfBottomInMeters","minimumDepthinMeters","maximumDepthinMeters","fieldNotes","fullUnit","scrubbie","unitNotes","unitAttachment","unitImageInSitu","unitRetrievalBin","unitRetrievalBinNotes","unitRetrievalUnfilteredWater","unitRetrievalFilteredWater","unitRetrievalBubbler","timeBetweenRetrievalAndProcessing","associatedInSituEnvData","associatedInSituEnvDataNotes","associatedInSituEnvParameters","associatedBenthicData","associatedBenthicDataNotes","eventEnteredBy","recordedbyID","permitType","permitURI","eventRemarks","bcid","uniqueLatLong","materialSampleID","sampleSizeFractionation","sampleWetWeight","weightNotes","institutionCode","institutionID","collectionCode","traditionalKnowledgeNotice","associatedMedia","associatedReferences","datasetName","sampleEnteredBy","subProject","fractionStorageBuffer","motileFractionDecanting","motileFractionDecantingARMSProtocolFollowed","motileFractionWeightPostDecantation","fractionDecantingMethod","fractionNotes","homogenisation","homogenisationSample","homogenisationMethod","sessileWaterRemoval","sessileFractionWash","sessileFractionWashMethod","sessileFractionWashMethodNotes","sampleExtractionKitManufacturer","sampleExtractionKit","sampleExtractionWeight","sampleExtractCleanUp","sampleExtractCleanUpKitManufacturer","sampleExtractCleanUpKit","sampleExtractArchive","X","X.1","bioSampleAccession","bioProjectAccession","metabarcodingGeneticMarker","ampliconPrimerForward","ampliconPrimerReverse","ampliconPrimerRef","ampliconPCRTriplicates","ampliconPCRProtocol","ampliconPCRPolymerase","ampliconPCRCycles","ampliconAnnealingTemp","ampliconPCRNotes","ampliconPCRTriplicateMerged","libraryPrepProtocol","indexPCRMethod","indexPCRKit","indexPCRProtocol","sequencingRunID","sequencingTriplicates"
"JAR_8_100","Run17","Ransome_JAR08_JAR08C_120501_150301","Ransome","ARMS","01/05/2012","01/03/2015",NA,2012,2015,34,"",NA,"Pacific","Line Islands",NA,"","Jarvis","Jarvis Island","Line Islands","JAR08",NA,-0.363118714,-159.9912139,"00° 21' 47.22"" S","159° 59' 28.36"" W",NA,"forereef",12,NA,12,NA,"Yes",NA,"RevC","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2LI_2015_JAR_08C","-0.363118714 -159.9912139","Ransome_JAR08_JAR08C_120501_150301_100_ETOH","100",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2134","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"JAR_8_500","Run17","Ransome_JAR08_JAR08C_120501_150301","Ransome","ARMS","01/05/2012","01/03/2015",NA,2012,2015,34,"",NA,"Pacific","Line Islands",NA,"","Jarvis","Jarvis Island","Line Islands","JAR08",NA,-0.363118714,-159.9912139,"00° 21' 47.22"" S","159° 59' 28.36"" W",NA,"forereef",12,NA,12,NA,"Yes",NA,"RevC","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2LI_2015_JAR_08C","-0.363118714 -159.9912139","Ransome_JAR08_JAR08C_120501_150301_500_ETOH","500",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2135","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"KIN_11_100","Run17","Ransome_KIN11_KIN11C_120501_150301","Ransome","ARMS","01/05/2012","01/03/2015",NA,2012,2015,34,"Molly Timmers",NA,"Pacific","Line Islands",NA,"","Kingman","Kingman Reef","Line Islands","KIN11",NA,6.381851323,-162.3464465,"06° 22' 54.66"" N","162° 20' 47.20"" W",NA,"forereef",15,NA,15,NA,"Yes",NA,"RevC","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2LI_2015_KIN_11C","6.381851323 -162.3464465","Ransome_KIN11_KIN11C_120501_150301_100_ETOH","100",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2154","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"KIN_13B_100","Run17","Ransome_KIN13_KIN13B_120501_150301","Ransome","ARMS","01/05/2012","01/03/2015",NA,2012,2015,34,"Molly Timmers",NA,"Pacific","Line Islands",NA,"","Kingman","Kingman Reef","Line Islands","KIN13",NA,6.3822,-162.3840833,"06° 22' 55.92"" N","162° 23' 02.69"" W",NA,"forereef",17,NA,17,NA,"Yes",NA,"RevC","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2LI_2015_KIN_13B","6.3822 -162.3840833","Ransome_KIN13_KIN13B_120501_150301_100_ETOH","100",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2160","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"KIN_13B_500","Run17","Ransome_KIN13_KIN13B_120501_150301","Ransome","ARMS","01/05/2012","01/03/2015",NA,2012,2015,34,"Molly Timmers",NA,"Pacific","Line Islands",NA,"","Kingman","Kingman Reef","Line Islands","KIN13",NA,6.3822,-162.3840833,"06° 22' 55.92"" N","162° 23' 02.69"" W",NA,"forereef",17,NA,17,NA,"Yes",NA,"RevC","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2LI_2015_KIN_13B","6.3822 -162.3840833","Ransome_KIN13_KIN13B_120501_150301_500_ETOH","500",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2161","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"KIN_5_500","Run17","Ransome_KIN05_KIN05C_120501_150301","Ransome","ARMS","01/05/2012","01/03/2015",NA,2012,2015,34,"Molly Timmers",NA,"Pacific","Line Islands",NA,"","Kingman","Kingman Reef","Line Islands","KIN05",NA,6.393416667,-162.3476333,"06° 23' 36.30"" N","162° 20' 51.47"" W",NA,"forereef",12,NA,12,NA,"Yes",NA,"RevC","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2LI_2015_KIN_05C","6.393416667 -162.3476333","Ransome_KIN05_KIN05C_120501_150301_500_ETOH","500",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2152","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"OFU_3B_100","Run17","Ransome_OFU03_OFU03B_120401_150201","Ransome","ARMS","01/04/2012","01/02/2015",NA,2012,2015,34,"Molly Timmers",NA,"Pacific","American Samoa",NA,"","American Samoa","Ofu Island","","OFU03",NA,-14.18628333,-169.6599,"14° 11' 10.61"" S","169° 39' 35.63"" W",NA,"forereef",14,NA,14,NA,"Yes",NA,"RevC","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2SI_2015_OFU_03B","-14.18628333 -169.6599","Ransome_OFU03_OFU03B_120401_150201_100_ETOH","100",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2218","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"ART_1B_100","Run18","Ransome_ART01_ART01B_120312_150524","Ransome","ARMS","12/03/2012","24/05/2015",NA,2012,2015,38,"Max Sudnovsky, Molly Timmers, Chris Meyer, Andrianus Sembiring",NA,"Pacific","Phillipines",NA,"Mabini","Arthur's Reef","Luzon","Verde Islands","ART01",NA,13.70776,120.87432,"13° 42' 27.93"" N","120° 52' 27.55"" E",NA,"fringing reef",14,NA,14,NA,"",NA,"","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/CaU2ART_01_B_44","13.70776 120.87432","Ransome_ART01_ART01B_120312_150524_100_ETOH","100",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2016","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"BAA_1A_100","Run18","Ransome_BAA01_BAA01A_120312_150530","Ransome","ARMS","12/03/2012","30/05/2015",NA,2012,2015,38,"Max Sudnovsky, Molly Timmers, Chris Meyer, Andrianus Sembiring",NA,"Pacific","Phillipines",NA,"Tingloy","Batalang Bato","Tingloy","Verde Islands","BAA01",NA,13.65885,120.89513,"13° 39' 31.85"" N","120° 53' 42.46"" E",NA,"patch reef",14,NA,14,NA,"",NA,"","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/CaU2BAA_01_A_44","13.65885 120.89513","Ransome_BAA01_BAA01A_120312_150530_100_ETOH","100",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2027","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"BAA_1C_100","Run18","Ransome_BAA01_BAA01C_120312_150530","Ransome","ARMS","12/03/2012","30/05/2015",NA,2012,2015,38,"Max Sudnovsky, Molly Timmers, Chris Meyer, Andrianus Sembiring",NA,"Pacific","Phillipines",NA,"Tingloy","Batalang Bato","Tingloy","Verde Islands","BAA01",NA,13.65885,120.89513,"13° 39' 31.85"" N","120° 53' 42.46"" E",NA,"patch reef",14,NA,14,NA,"",NA,"","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/CaU2BAA_01_C_44","13.65885 120.89513","Ransome_BAA01_BAA01C_120312_150530_100_ETOH","100",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2033","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"BAO_2A_100","Run18","Ransome_BAO02_BAO02A_120312_150526","Ransome","ARMS","12/03/2012","26/05/2015",NA,2012,2015,38,"Max Sudnovsky, Molly Timmers, Chris Meyer, Andrianus Sembiring",NA,"Pacific","Phillipines",NA,"Mabini","Batong Bay","Luzon","Verde Islands","BAO02",NA,13.72788,120.8837,"13° 43' 40.36"" N","120° 53' 01.32"" E",NA,"fringing reef",4,NA,4,NA,"",NA,"","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/CaU2BAO_02_A_14","13.72788 120.8837","Ransome_BAO02_BAO02A_120312_150526_100_ETOH","100",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2052","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"GUA_5_500","Run18","Ransome_GUA05_GUA05B_110101_140101","Ransome","ARMS","01/01/2011","01/01/2014",NA,2011,2014,36,"Molly Timmers",NA,"Pacific","Guam",NA,"","Guam","Guam","Mairanas Islands","GUA05",NA,13.57845859,144.8283336,"13° 34' 42.45"" N","144° 49' 42.00"" E",NA,"forereef",12,NA,12,NA,"",NA,"Rev B","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2MI_2014_GUA_05B","13.57845859 144.8283336","Ransome_GUA05_GUA05B_110101_140101_500_ETOH","500",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2079","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"GUA_8B_100","Run18","Ransome_GUA08_GUA08B_110101_140101","Ransome","ARMS","01/01/2011","01/01/2014",NA,2011,2014,36,"Molly Timmers",NA,"Pacific","Guam",NA,"","Guam","Guam","Mairanas Islands","GUA08",NA,13.48873585,144.8779058,"13° 29' 19.44"" N","144° 52' 40.46"" E",NA,"forereef",12,NA,12,NA,"",NA,"Rev B","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2MI_2014_GUA_08B","13.48873585 144.8779058","Ransome_GUA08_GUA08B_110101_140101_100_ETOH","100",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2084","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"GUA_8B_500","Run18","Ransome_GUA08_GUA08B_110101_140101","Ransome","ARMS","01/01/2011","01/01/2014",NA,2011,2014,36,"Molly Timmers",NA,"Pacific","Guam",NA,"","Guam","Guam","Mairanas Islands","GUA08",NA,13.48873585,144.8779058,"13° 29' 19.44"" N","144° 52' 40.46"" E",NA,"forereef",12,NA,12,NA,"",NA,"Rev B","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2MI_2014_GUA_08B","13.48873585 144.8779058","Ransome_GUA08_GUA08B_110101_140101_500_ETOH","500",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2085","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"GUA_8C_100","Run18","Ransome_GUA08_GUA08C_110101_140101","Ransome","ARMS","01/01/2011","01/01/2014",NA,2011,2014,36,"Molly Timmers",NA,"Pacific","Guam",NA,"","Guam","Guam","Mairanas Islands","GUA08",NA,13.48873585,144.8779058,"13° 29' 19.44"" N","144° 52' 40.46"" E",NA,"forereef",12,NA,12,NA,"",NA,"Rev B","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2MI_2014_GUA_08C","13.48873585 144.8779058","Ransome_GUA08_GUA08C_110101_140101_100_ETOH","100",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2087","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"HAW_24B_100","Run18","Ransome_HAW24_HAW24B_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",NA,2010,2013,36,"Molly Timmers",NA,"Pacific","USA",NA,"","Hawaii","Hawaii","Hawaiian Islands","HAW24",NA,19.03821667,-155.88255,"19° 02' 17.58"" N","155° 52' 57.18"" W",NA,"forereef",15,NA,15,NA,"",NA,"Rev B","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2MHI_2013_HAW_24B","19.03821667 -155.88255","Ransome_HAW24_HAW24B_100101_130101_100_ETOH","100",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2096","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"HAW_24B_500","Run18","Ransome_HAW24_HAW24B_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",NA,2010,2013,36,"Molly Timmers",NA,"Pacific","USA",NA,"","Hawaii","Hawaii","Hawaiian Islands","HAW24",NA,19.03821667,-155.88255,"19° 02' 17.58"" N","155° 52' 57.18"" W",NA,"forereef",15,NA,15,NA,"",NA,"Rev B","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2MHI_2013_HAW_24B","19.03821667 -155.88255","Ransome_HAW24_HAW24B_100101_130101_500_ETOH","500",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2097","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
"HAW_24C_100","Run18","Ransome_HAW24_HAW24C_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",NA,2010,2013,36,"Molly Timmers",NA,"Pacific","USA",NA,"","Hawaii","Hawaii","Hawaiian Islands","HAW24",NA,19.03821667,-155.88255,"19° 02' 17.58"" N","155° 52' 57.18"" W",NA,"forereef",15,NA,15,NA,"",NA,"Rev B","Benthos",NA,"Mesh crate",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://n2t.net/ark:/21547/FDQ2MHI_2013_HAW_24C","19.03821667 -155.88255","Ransome_HAW24_HAW24C_100101_130101_100_ETOH","100",NA,NA,"ICL","Imperial College London",NA,NA,NA,NA,"Ransome ARMS",NA,NA,"ETOH","Yes","Yes",NA,NA,"fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","pestle and mortar",NA,NA,NA,NA,"MoBio","PowerMax Soil DNA Isolation Kit",NA,"Yes","MoBio","PowerClean DNA Cleanup Kit",NA,NA,NA,NA,NA,"COI","mlCOIintF","jgHCO2198","Leray et al., 2013; Geller et al., 2099","Yes","touchdown","Advantage 2 (Clontech)",36,46,"Touchddown protocol with 16 cycles from 62-46C, followed by 20 cycles at 46C","Yes","Casey et al., 2021","Casey et al., 2021","TruSeq DNA PCR-Free IT Library Prep Kit","manufacturer",NA,"No"
